,PdDistrict,x,y,Number
0,BAYVIEW,-122.39335916826592,37.74251581489946,89431.0
1,CENTRAL,-122.4095073476042,37.79873970431338,85460.0
2,INGLESIDE,-122.428733579304,37.729194966664885,78845.0
3,MISSION,-122.41939291725814,37.76039627519468,119908.0
4,NORTHERN,-122.42642766912827,37.792329865261685,105296.0
5,PARK,-122.44536877493952,37.77241776777057,49313.0
6,RICHMOND,-122.46978226580922,37.788293899819486,45209.0
7,SOUTHERN,-122.40518506334564,37.78257278911752,157182.0
8,TARAVAL,-122.47721399328515,37.740736042976124,65596.0
9,TENDERLOIN,-122.41215241127628,37.79337654240511,81809.0
